"Time","RelativeSeconds","Source","Line"
"2026-06-15 20:43:40.055","17.557","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:40.055] info: setSingleButtonMapping profileId: 1 {""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":{""HID"":""9"",""flag"":0,""pageID"":""7""},""modifiers"":[]},""uiThresholdH"":0,""uiThresholdL"":0} {""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":{""HID"":""9"",""flag"":0,""pageID"":""7""},""modifiers"":[]},""uiThresholdH"":0,""uiThresholdL"":0}"
"2026-06-15 20:43:40.083","17.585","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:40.083] info: set OBM result 163 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""77"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":2,""guid"":""a5c15916-b5fd-4f33-8408-d978cd3bf37c"",""name"":""OPENSNEK_CREATE_PROBE_1""},""timerTick"":1781570110670},""init"":{""value"":{""version"":null},""version"":64},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":87}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""time..."
"2026-06-15 20:43:40.083","17.585","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:40.083] info: {""maxProfilesSupported"":5,""profileIdList"":[1,3,4,5,2],""numOfProfiles"":5,""profiles"":[{""id"":1,""name"":"""",""dpi"":{""x"":800,""y"":800},""dpiActiveStage"":2,""dpiNumOfStage"":5,""dpiStages"":[{""id"":1,""dpi"":{""x"":600,""y"":600}},{""id"":2,""dpi"":{""x"":800,""y"":800}},{""id"":3,""dpi"":{""x"":1000,""y"":1000}},{""id"":4,""dpi"":{""x"":1200,""y"":1200}},{""id"":5,""dpi"":{""x"":1400,""y"":1400}}],""scrollMode"":0,""guid"":"""",""owner"":"""",""buttonAssignments"":{""1"":{""id"":1,""idHex"":""0x1"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":{""0"":1,""1"":0,""2"":0,""3"":0,""4"":0},""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""mouseGroup"":{""mouseAssignment"":""Click""},""outputType"":""mouseGroup"",""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""LeftClick""},""2"":{""id"":2,""idHex"":""0x2"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""RightClick""},""3"":{""id"":3,""idHex"":""0x3"",""rapidTrigger"":{""enabled"":0,""upSensitivit..."
"2026-06-15 20:43:54.636","32.138","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.636] warn: 4330946.400000036: [Armory] Active profile {""activeProfile"":{""guid"":""a5c15916-b5fd-4f33-8408-d978cd3bf37c"",""name"":""OPENSNEK_CREATE_PROBE_1"",""dpi"":{""x"":1800,""y"":1800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":""KEY_D"",""modifiers"":[]}}],""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""deviceContainerId"":""{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":256,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":32,""flag"":0}},{""input"":{""type"":""mouse"",""id"":512,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":32,""flag"":1}}],""hash"":""401e072450ec6b7c15c98547fa8474aa""},""obmSlotId"":[2]}}"
"2026-06-15 20:43:54.643","32.145","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.643] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""localStorageSetItem"",""payload"":{""key"":""synapse_172_{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""value"":""{\""productId\"":170,\""editionId\"":0,\""name\"":\""Razer Basilisk V3 Pro\"",\""reportIDs\"":{\""4\"":\""razerKeyReportID\"",\""5\"":\""hardwareEventReportID\""},\""category\"":\""MOUSE\"",\""calibration\"":{\""calibrationTrackingMode\"":false,\""smartTracking\"":{\""isAsymmetric\"":false,\""trackingDistance\"":2,\""liftOffDistance\"":13,\""landingDistance\"":12},\""presetTracking\"":{\""isAsymmetric\"":false,\""surfaceDistance\"":5,\""liftOffDistance\"":5,\""landingDistance\"":3},\""selectedProfile\"":{},\""profiles\"":[{\""type\"":\""default\""}]},\""schemaVersion\"":12,\""defaultMappings\"":{\""appEngine\"":{\""mappings\"":[{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":1,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":2,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":1}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":4,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":8,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""disabled\""}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":1},\""output\"":{\""type\"":\""scrollModeSwitch\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":82,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""sensitivity\"",\""sensitivityGroup\"":{\""sensitivityAssignment\"":\""DPI_CycleUp\"",\""independent\"":false,\""x\"":800,\""y\"":800},\""flag\"":0}},{\""input\"":{\""type\"":\""razer..."
"2026-06-15 20:43:54.645","32.147","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.645] info: setSingleButtonAssignment 2, 5, 0, 2, 2 0,7,0,0,0:,"
"2026-06-15 20:43:54.645","32.147","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.645] info: setSingleButtonMapping buttonId: 5 buttonMode 0 fnId 2 KeyCode fnDataByteSize 2 fnDataByte {""0"":0,""1"":7,""2"":0,""3"":0,""4"":0}"
"2026-06-15 20:43:54.645","32.147","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.645] info: setSingleButtonMapping profileId: 2 {""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":{""HID"":""7"",""flag"":0,""pageID"":""7""},""modifiers"":[]},""uiThresholdH"":0,""uiThresholdL"":0} {""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":{""HID"":""7"",""flag"":0,""pageID"":""7""},""modifiers"":[]},""uiThresholdH"":0,""uiThresholdL"":0}"
"2026-06-15 20:43:54.676","32.178","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.676] info: setSingleButtonMapping buttonId: 5 buttonMode 0 fnId 2 KeyCode fnDataByteSize 2 fnDataByte {""0"":0,""1"":7,""2"":0,""3"":0,""4"":0}"
"2026-06-15 20:43:54.676","32.178","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.676] info: setSingleButtonAssignment 1, 5, 0, 2, 2 0,7,0,0,0:,"
"2026-06-15 20:43:54.676","32.178","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.676] info: {""maxProfilesSupported"":5,""profileIdList"":[1,3,4,5,2],""numOfProfiles"":5,""profiles"":[{""id"":1,""name"":"""",""dpi"":{""x"":800,""y"":800},""dpiActiveStage"":2,""dpiNumOfStage"":5,""dpiStages"":[{""id"":1,""dpi"":{""x"":600,""y"":600}},{""id"":2,""dpi"":{""x"":800,""y"":800}},{""id"":3,""dpi"":{""x"":1000,""y"":1000}},{""id"":4,""dpi"":{""x"":1200,""y"":1200}},{""id"":5,""dpi"":{""x"":1400,""y"":1400}}],""scrollMode"":0,""guid"":"""",""owner"":"""",""buttonAssignments"":{""1"":{""id"":1,""idHex"":""0x1"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":{""0"":1,""1"":0,""2"":0,""3"":0,""4"":0},""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""mouseGroup"":{""mouseAssignment"":""Click""},""outputType"":""mouseGroup"",""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""LeftClick""},""2"":{""id"":2,""idHex"":""0x2"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""RightClick""},""3"":{""id"":3,""idHex"":""0x3"",""rapidTrigger"":{""enabled"":0,""upSensitivit..."
"2026-06-15 20:43:54.676","32.178","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}16.log","[2026/06/15 20:43:54.676] info: setSingleButtonMapping profileId: 1 {""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":{""HID"":""7"",""flag"":0,""pageID"":""7""},""modifiers"":[]},""uiThresholdH"":0,""uiThresholdL"":0} {""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":{""HID"":""7"",""flag"":0,""pageID"":""7""},""modifiers"":[]},""uiThresholdH"":0,""uiThresholdL"":0}"
