"Time","RelativeSeconds","Source","Line"
"2026-06-18 22:48:44.438","23.993","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:44.438] info: {""maxProfilesSupported"":5,""profileIdList"":[1,2,4,5],""numOfProfiles"":4,""profiles"":[{""id"":1,""name"":"""",""dpi"":{""x"":800,""y"":800},""dpiActiveStage"":2,""dpiNumOfStage"":5,""dpiStages"":[{""id"":1,""dpi"":{""x"":600,""y"":600}},{""id"":2,""dpi"":{""x"":800,""y"":800}},{""id"":3,""dpi"":{""x"":1000,""y"":1000}},{""id"":4,""dpi"":{""x"":1200,""y"":1200}},{""id"":5,""dpi"":{""x"":1400,""y"":1400}}],""scrollMode"":0,""guid"":"""",""owner"":"""",""buttonAssignments"":{""1"":{""id"":1,""idHex"":""0x1"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""LeftClick""},""2"":{""id"":2,""idHex"":""0x2"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""RightClick""},""3"":{""id"":3,""idHex"":""0x3"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity""..."
"2026-06-18 22:48:44.439","23.994","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:44.439] info: set OBM result 125 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""237"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":null,""guid"":null,""name"":null}},""init"":{""value"":{""version"":null},""version"":225},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":240}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""timerTick"":null,""value"":{}},""expo..."
"2026-06-18 22:48:56.459","36.014","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.459] warn: 379547.39999997616: [Armory] Active profile {""activeProfile"":{""guid"":""cb881722-47e2-437a-9ab9-b22386cb23a0"",""name"":""5 cpy"",""dpi"":{""X"":1600,""Y"":1600},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""outputType"":""sensitivityGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false}}],""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false},""flag"":1}}],""hash"":""332f0034251d6d1202de950c443dc4d3""}}}"
"2026-06-18 22:48:56.464","36.019","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.464] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""localStorageSetItem"",""payload"":{""key"":""synapse_172_{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""value"":""{\""productId\"":170,\""editionId\"":0,\""name\"":\""Razer Basilisk V3 Pro\"",\""reportIDs\"":{\""4\"":\""razerKeyReportID\"",\""5\"":\""hardwareEventReportID\""},\""category\"":\""MOUSE\"",\""calibration\"":{\""calibrationTrackingMode\"":false,\""smartTracking\"":{\""isAsymmetric\"":false,\""trackingDistance\"":2,\""liftOffDistance\"":13,\""landingDistance\"":12},\""presetTracking\"":{\""isAsymmetric\"":false,\""surfaceDistance\"":5,\""liftOffDistance\"":5,\""landingDistance\"":3},\""selectedProfile\"":{},\""profiles\"":[{\""type\"":\""default\""}]},\""schemaVersion\"":12,\""defaultMappings\"":{\""appEngine\"":{\""mappings\"":[{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":1,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":2,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":1}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":4,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":8,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""disabled\""}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":1},\""output\"":{\""type\"":\""scrollModeSwitch\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":82,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""sensitivity\"",\""sensitivityGroup\"":{\""sensitivityAssignment\"":\""DPI_CycleUp\"",\""independent\"":false,\""x\"":800,\""y\"":800},\""flag\"":0}},{\""input\"":{\""type\"":\""razer..."
"2026-06-18 22:48:56.473","36.028","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.473] info: setSingleButtonAssignment 4, 15, 0, 6, 5 5,3,32,3,32:,"
"2026-06-18 22:48:56.473","36.028","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.473] info: setSingleButtonMapping buttonId: 15 buttonMode 0 fnId 6 DPI fnDataByteSize 5 fnDataByte {""0"":5,""1"":3,""2"":32,""3"":3,""4"":32}"
"2026-06-18 22:48:56.473","36.028","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.473] info: setSingleButtonMapping profileId: 4 {""outputType"":""sensitivityGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false},""uiThresholdH"":0,""uiThresholdL"":0} {""outputType"":""sensitivityGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false},""uiThresholdH"":0,""uiThresholdL"":0}"
"2026-06-18 22:48:56.493","36.048","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.493] info: {""maxProfilesSupported"":5,""profileIdList"":[1,2,4,5],""numOfProfiles"":4,""profiles"":[{""id"":1,""name"":"""",""dpi"":{""x"":800,""y"":800},""dpiActiveStage"":2,""dpiNumOfStage"":5,""dpiStages"":[{""id"":1,""dpi"":{""x"":600,""y"":600}},{""id"":2,""dpi"":{""x"":800,""y"":800}},{""id"":3,""dpi"":{""x"":1000,""y"":1000}},{""id"":4,""dpi"":{""x"":1200,""y"":1200}},{""id"":5,""dpi"":{""x"":1400,""y"":1400}}],""scrollMode"":0,""guid"":"""",""owner"":"""",""buttonAssignments"":{""1"":{""id"":1,""idHex"":""0x1"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""LeftClick""},""2"":{""id"":2,""idHex"":""0x2"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""RightClick""},""3"":{""id"":3,""idHex"":""0x3"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity""..."
"2026-06-18 22:48:56.494","36.049","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.494] info: setSingleButtonAssignment 1, 15, 0, 6, 5 5,3,32,3,32:,"
"2026-06-18 22:48:56.494","36.049","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.494] info: setSingleButtonMapping buttonId: 15 buttonMode 0 fnId 6 DPI fnDataByteSize 5 fnDataByte {""0"":5,""1"":3,""2"":32,""3"":3,""4"":32}"
"2026-06-18 22:48:56.494","36.049","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.494] info: setSingleButtonMapping profileId: 1 {""outputType"":""sensitivityGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false},""uiThresholdH"":0,""uiThresholdL"":0} {""outputType"":""sensitivityGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":800,""y"":800,""independent"":false},""uiThresholdH"":0,""uiThresholdL"":0}"
"2026-06-18 22:48:56.516","36.071","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.516] info: {""maxProfilesSupported"":5,""profileIdList"":[1,2,4,5],""numOfProfiles"":4,""profiles"":[{""id"":1,""name"":"""",""dpi"":{""x"":800,""y"":800},""dpiActiveStage"":2,""dpiNumOfStage"":5,""dpiStages"":[{""id"":1,""dpi"":{""x"":600,""y"":600}},{""id"":2,""dpi"":{""x"":800,""y"":800}},{""id"":3,""dpi"":{""x"":1000,""y"":1000}},{""id"":4,""dpi"":{""x"":1200,""y"":1200}},{""id"":5,""dpi"":{""x"":1400,""y"":1400}}],""scrollMode"":0,""guid"":"""",""owner"":"""",""buttonAssignments"":{""1"":{""id"":1,""idHex"":""0x1"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[1,0,0,0,0],""mapping"":{""inputID"":""LeftClick"",""inputType"":""MouseInput"",""mouseInput"":""LeftClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Click""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""LeftClick""},""2"":{""id"":2,""idHex"":""0x2"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity"":0},""actuationPoint"":{""thresholdH"":0,""thresholdL"":0},""NormalMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""}},""thresholdL"":0,""thresholdH"":0},""HypershiftMode"":{""fnId"":1,""fnIdEnum"":""ButtonCode"",""fnDataByteSize"":1,""fnDataByte"":[2,0,0,0,0],""mapping"":{""inputID"":""RightClick"",""inputType"":""MouseInput"",""mouseInput"":""RightClick"",""outputType"":""mouseGroup"",""mouseGroup"":{""mouseAssignment"":""Menu""},""isHyperShift"":true},""thresholdL"":0,""thresholdH"":0},""inputID"":""RightClick""},""3"":{""id"":3,""idHex"":""0x3"",""rapidTrigger"":{""enabled"":0,""upSensitivity"":0,""downSensitivity""..."
"2026-06-18 22:48:56.518","36.073","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}4.log","[2026/06/18 22:48:56.518] info: set OBM result 127 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""237"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":null,""guid"":null,""name"":null}},""init"":{""value"":{""version"":null},""version"":225},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":241}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""timerTick"":null,""value"":{}},""expo..."
